"Kulcs","Feladattípus","Fölérendelt","Összefoglalás","Állapot","Hozzárendelt személy","Sprint","Start date","Következtetett kezdő dátum","Határidő","Következtetett határidő","Issue color"
"SCRUM-23","Eposz","","Implement backend for UNIverse","Kész","Dániel Murányi","","2024/12/26","2024/12/26","2025/03/30","2025/03/30","orange"
"SCRUM-26","Story","SCRUM-23","Implement Backend for UNIverse Application","Kész","Dániel Murányi","","2024/12/26","","2025/01/30","","purple"
"SCRUM-27","Feladat","SCRUM-23","Create backend_info.txt","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-28","Feladat","SCRUM-23","Create init.png","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-29","Feladat","SCRUM-23","Add backend info for planning","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-30","Feladat","SCRUM-23","Create Spring Boot init zip","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-31","Feladat","SCRUM-23","Delete backend_info.txt","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-32","Feladat","SCRUM-23","Create UnIverseBackendApplicationTests.java","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-33","Feladat","SCRUM-23","Define application properties","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-34","Feladat","SCRUM-23","Create UnIverseBackendApplication.java","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-35","Feladat","SCRUM-23","Create .gitignore","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-36","Feladat","SCRUM-23","Create .gitattributes","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-37","Feladat","SCRUM-23","Set Maven","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-38","Feladat","SCRUM-23","Create pom.xml","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-39","Feladat","SCRUM-23","Update pom.xml","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-40","Story","SCRUM-23","Database Design & Setup","Kész","Dániel Murányi","","2024/10/21","","2024/12/31","","purple"
"SCRUM-41","Feladat","SCRUM-23","Create DB 1.0","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-42","Feladat","SCRUM-23","Update defaults","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-43","Feladat","SCRUM-23","Update tables.md","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-47","Feladat","SCRUM-23","Update tree","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-49","Feladat","SCRUM-23","DB server changes","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-50","Feladat","SCRUM-23","Update application.properties","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-55","Story","SCRUM-23","User Authentication & Profile Management","Kész","Dániel Murányi","","2024/10/24","","2024/12/31","","purple"
"SCRUM-58","Feladat","SCRUM-23","Add login","Kész","Dániel Murányi","","","","","","purple"
"SCRUM-60","Feladat","SCRUM-23","Update registration","Kész","Dániel Murányi","","","","","","purple"
